Topic;Count;Main Words;c-TF-IDF score
32;216;climatechange,climate,warming,arctic,rt,polarbear,global,report,survive,factsguide;0.6164134,0.54043716,0.47469437,0.3781497,0.2662264,0.2511533,0.25044072,0.24358043,0.23744379,0.23089251
33;213;climatechange,climate,drought,rwandaresources,rwanda,africa,rain,madagascar,rt,effects;0.61114645,0.52876925,0.3231793,0.2626278,0.22925708,0.2258696,0.2117437,0.20852676,0.20081946,0.1987617
34;198;climate,huffpostpol,exxonknew,what,emails,risks,rt,email,sanctions,lied;0.51846707,0.30242378,0.24864522,0.23631522,0.22899835,0.22513345,0.2218431,0.21863246,0.21462537,0.20728326
35;196;climate,everglades,hurricane,rt,reality,cuba,to,floridians,danger,florida;0.551617,0.2676238,0.25800246,0.24436617,0.22773743,0.22357261,0.2204813,0.216616,0.21294443,0.21072811
36;192;climatechangeshealth,climatechange,climate,warmingquot,pollution,impacts,affecting,crisis,florida,change;0.6269256,0.6211799,0.6010662,0.3626331,0.32797998,0.2852857,0.2700891,0.2658387,0.25694022,0.25561443
37;191;climate,warming,solar,environmental,mitigate,pollution,concerns,solarrich,global,change;0.5719732,0.50081867,0.34341735,0.33117366,0.29669833,0.29203022,0.2883199,0.2730164,0.27261224,0.24743322
38;188;climate,scientists,governments,nations,government,minister,bbcqt,change,threat,rt;0.5815963,0.26492515,0.26475954,0.23365235,0.22862327,0.21233815,0.20757383,0.20494807,0.19754374,0.18361063
39;186;climate,warming,global,floods,believing,conservatives,change,believe,science,denial;0.5280671,0.44979343,0.26716897,0.22092953,0.17329103,0.1707846,0.16658081,0.1643751,0.15617171,0.1461748
40;180;climate,warming,rt,trump2016fan,world,global,change,america,trump,threats;0.5318749,0.4857715,0.2871828,0.25702804,0.22454509,0.22284165,0.21798927,0.19563423,0.18823107,0.1878342
41;176;climate,warming,climatecentral,droughts,drought,climatehawk1,famine,storms,floods,rain;0.5914904,0.5338274,0.49563873,0.393487,0.39272517,0.3921912,0.37257856,0.31386286,0.31177986,0.31087506
42;174;climate,earth,nasa,earths,holoscenes,geographic,planet,bleak,stunning,breathtaking;0.6169532,0.34415552,0.3274417,0.301776,0.29002595,0.289668,0.2635873,0.25230205,0.24573307,0.24458203
