Topic;Count;Main Words;c-TF-IDF score
0;14904;climate,warming,epa,weather,hoax,believe,scientists,world,global,real;0.5662873,0.5271764,0.282813,0.26774526,0.26509023,0.25332057,0.24138671,0.23545301,0.18582593,0.18137002
1;513;climate,nature,believe,thinks,change,httpstcobeoug1w94n,doesnt,rt,thinking,your;0.56257886,0.30844796,0.22854741,0.18368077,0.17741048,0.13901684,0.13557857,0.13008553,0.12805459,0.1280008
2;257;climate,warming,change,httpstcon7y35ltyn2,global,anonypress,leave,plan,says,2016;0.58194053,0.55102897,0.19698995,0.17587164,0.1638203,0.1588018,0.15417653,0.15301947,0.15210894,0.15088858
3;218;warming,climate,antarctica,believe,global,rt,dont,presidentelect,actually,we;0.57004046,0.5138773,0.31921172,0.2974438,0.23172024,0.19446121,0.19273265,0.17055362,0.16069677,0.1514438
4;101;climate,believe,greenhouse,believing,frightening,scary,elect,emissions,threat,world;0.49631578,0.3473243,0.33548024,0.32990316,0.26771706,0.26476854,0.2387679,0.23781049,0.23169926,0.23131724
