Topic;Count;Main Words;c-TF-IDF score
0;2857;climate,warming,world,energy,trump,believe,science,global,who,people;0.47092602,0.44882247,0.2668137,0.25050715,0.21762368,0.2107639,0.2053763,0.20527983,0.2051487,0.20136309
1;62;climate,environment,efforts,fighting,reform,emerging,reality,ahead,commitment,alliance;0.4956373,0.24322633,0.24093315,0.23638497,0.23460819,0.22638303,0.21150741,0.20888345,0.20523112,0.2034781
2;30;warming,globalwarming,earth,next,believe,httpstcoqtkxabhgny,best,rt,ryantheryan,welcome;0.49341196,0.39526075,0.2882435,0.23929915,0.23023619,0.22281846,0.22248146,0.21912086,0.21863052,0.2049872
3;30;climatechange,climate,warming,climatecentral,earthjustice,cnnweather,warmest,noaa,scientists,unnewscentre;0.59203595,0.5382761,0.5195855,0.488427,0.27008557,0.26980206,0.26756668,0.26587963,0.25748947,0.23881236
4;27;climateprogress,climate,looming,hurricane,quotes,evolutionthe,disputecc,billmckibben,firstpost,debate;0.54806477,0.53441226,0.34978592,0.28953218,0.22263366,0.21632776,0.19390368,0.19247174,0.19165123,0.19156262
